"TIME","PB4","readV","Vnode"
0.1050202474,0,0.448897,0.897798
0.1050205673,0,0.448897,0.897798
0.1050212071,0,0.448897,0.897798
0.1050224867,0,0.448897,0.897798
0.1050239375,0,0.448896,0.897797
0.1050239475,0,0.448896,0.897797
0.1050239674,0,0.448896,0.897797
0.1050240072,0,0.448896,0.897797
0.105024087,0,0.448896,0.897797
0.1050242464,0,0.448896,0.897797
0.1050245652,0,0.448896,0.897797
0.1050252028,0,0.448896,0.897797
0.1050264782,0,0.448896,0.897797
0.1050290288,0,0.448896,0.897796
0.10503413,0,0.448895,0.897795
0.1050443325,0,0.448894,0.897793
0.1050647375,0,0.448892,0.897788
0.1051055475,0,0.448887,0.897779
0.1051871675,0,0.448878,0.89776
0.1053504074,0,0.448858,0.897721
0.1056768874,0,0.44882,0.897645
0.1063298472,0,0.448744,0.897492
0.1076357668,0,0.448591,0.897187
0.1102476061,0,0.448324,0.896653
0.1150199375,0,0.447837,0.895678
0.1150199475,0,0.447837,0.895678
0.1150199675,0,0.447837,0.895678
0.1150200075,0,0.447837,0.895678
0.1150200875,0,0.447837,0.895678
0.1150202474,0,0.447837,0.895678
0.1150205673,0,0.447837,0.895678
0.1150212071,0,0.447837,0.895678
0.1150224867,0,0.447837,0.895678
0.1150239375,0,0.447837,0.895678
0.1150239475,0,0.447837,0.895678
0.1150239674,0,0.447837,0.895678
0.1150240072,0,0.447837,0.895678
0.1150240869,0,0.447837,0.895678
0.1150242464,0,0.447837,0.895677
0.1150245652,0,0.447836,0.895677
0.1150252028,0,0.447836,0.895677
0.1150264781,0,0.447836,0.895677
0.1150290288,0,0.447836,0.895677
0.11503413,0,0.447836,0.895676
0.1150443324,0,0.447835,0.895674
0.1150647373,0,0.447833,0.89567
0.115105547,0,0.447829,0.895663
0.1151871665,0,0.447822,0.895648
0.1153504054,0,0.447807,0.895619
0.1156768832,0,0.447778,0.89556
0.1163298389,0,0.447719,0.895443
0.1176357503,0,0.447602,0.895208
0.120247573,0,0.447397,0.894798
0.1250199375,0,0.447023,0.894051
0.1250199475,0,0.447023,0.894051
0.1250199675,0,0.447023,0.894051
0.1250200075,0,0.447023,0.894051
0.1250200875,0,0.447023,0.894051
0.1250202474,0,0.447023,0.894051
0.1250205673,0,0.447023,0.89405
0.1250212071,0,0.447023,0.89405
0.1250224867,0,0.447023,0.89405
0.1250239375,0,0.447023,0.89405
0.1250239475,0,0.447023,0.89405
0.1250239674,0,0.447023,0.89405
0.1250240072,0,0.447023,0.89405
0.1250240869,0,0.447023,0.89405
0.1250242464,0,0.447023,0.89405
0.1250245652,0,0.447023,0.89405
0.1250252028,0,0.447023,0.89405
0.1250264781,0,0.447023,0.89405
0.1250290287,0,0.447022,0.894049
0.1250341299,0,0.447022,0.894049
0.1250443323,0,0.447021,0.894047
0.125064737,0,0.44702,0.894045
0.1251055465,0,0.447017,0.894039
0.1251871654,0,0.447012,0.894028
0.1253504034,0,0.447001,0.894007
0.1256768792,0,0.446979,0.893963
0.1263298308,0,0.446936,0.893876
0.1276357341,0,0.446849,0.893703
0.1302475406,0,0.446676,0.893355
0.1350199375,0,0.446402,0.892807
0.1350199475,0,0.446402,0.892807
0.1350199675,0,0.446402,0.892807
0.1350200075,0,0.446402,0.892807
0.1350200875,0,0.446402,0.892807
0.1350202474,0,0.446401,0.892807
0.1350205673,0,0.446401,0.892807
0.1350212071,0,0.446401,0.892807
0.1350224867,0,0.446401,0.892807
0.1350239375,0,0.446401,0.892807
0.1350239475,0,0.446401,0.892807
0.1350239674,0,0.446401,0.892807
0.1350240072,0,0.446401,0.892807
0.1350240869,0,0.446401,0.892807
0.1350242464,0,0.446401,0.892807
0.1350245652,0,0.446401,0.892807
0.1350252028,0,0.446401,0.892807
0.1350264781,0,0.446401,0.892807
0.1350290287,0,0.446401,0.892806
0.1350341298,0,0.446401,0.892806
0.1350443322,0,0.4464,0.892805
0.1350647368,0,0.446399,0.892803
0.135105546,0,0.446397,0.892799
0.1351871645,0,0.446393,0.89279
0.1353504014,0,0.446385,0.892774
0.1356768752,0,0.446368,0.892741
0.1363298229,0,0.446335,0.892675
0.1376357182,0,0.446269,0.892543
0.1402475089,0,0.446137,0.892278
0.1450199375,0,0.445929,0.891862
0.1450199475,0,0.445929,0.891862
0.1450199675,0,0.445929,0.891862
0.1450200075,0,0.445929,0.891862
0.1450200875,0,0.445929,0.891862
0.1450202474,0,0.445929,0.891862
0.1450205673,0,0.445929,0.891862
0.1450212071,0,0.445929,0.891862
0.1450224867,0,0.445929,0.891862
0.1450239375,0,0.445929,0.891862
0.1450239475,0,0.445929,0.891862
0.1450239674,0,0.445929,0.891862
0.1450240072,0,0.445929,0.891862
0.1450240869,0,0.445929,0.891862
0.1450242464,0,0.445929,0.891861
0.1450245652,0,0.445929,0.891861
0.1450252028,0,0.445928,0.891861
0.1450264781,0,0.445928,0.891861
0.1450290287,0,0.445928,0.891861
0.1450341298,0,0.445928,0.891861
0.145044332,0,0.445928,0.89186
0.1450647365,0,0.445927,0.891858
0.1451055455,0,0.445925,0.891855
