"TIME","PB4","readV"
0,0,6.09352e-007
0.002,0,6.09352e-007
0.004,0,6.09352e-007
0.008,0,6.09352e-007
0.016,0,6.09352e-007
0.032,0,6.09352e-007
0.064,0,6.09352e-007
0.0650155,0,6.09352e-007
0.065015501,0,5.70392e-007
0.065015503,0,4.88985e-007
0.065015507,0,3.64019e-007
0.065015515,0,2.25698e-007
0.065015531,0,1.37251e-007
0.065015563,0,1.32469e-007
0.065015627,0,1.6566e-007
0.065015755,0,1.96301e-007
0.065015875,0,2.15785e-007
0.06501587685,0,0.000165904
0.06501588055,0,0.000852054
0.06501588409,0,0.00191899
0.06501588825,0,0.00314686
0.06501589291,0,0.0041599
0.06501590141,0,0.00519114
0.06501591389,0,0.00574153
0.06501592672,0,0.00584
0.06501594841,0,0.00582487
0.06501598206,0,0.00581437
0.06501604935,0,0.00589304
0.06501618394,0,0.00619812
0.06501628643,0,0.00676944
0.06501637201,0,0.0113375
0.06501642658,0,0.021761
0.06501646984,0,0.0362548
0.06501651024,0,0.0567562
0.06501655326,0,0.0836916
0.0650166002,0,0.115437
0.06501666111,0,0.157343
0.06501674038,0,0.211448
0.06501685028,0,0.284716
0.06501700156,0,0.381536
0.0650170625,0,0.419059
0.0650170635,0,0.419675
0.0650170655,0,0.420906
0.0650170695,0,0.423326
0.0650170775,0,0.428166
0.0650170935,0,0.437846
0.0650171255,0,0.456995
0.0650171895,0,0.494616
0.0650173175,0,0.567153
0.0650175735,0,0.701856
0.0650180855,0,0.934039
0.06501816999,0,0.967692
0.06501833896,0,1.03153
0.06501867691,0,1.14683
0.06501935281,0,1.33583
0.0650207046,0,1.59376
0.06502291378,0,1.81113
0.0650238125,0,1.84862
0.06502382248,0,1.84111
0.06502384244,0,1.82497
0.06502388236,0,1.78996
0.06502396219,0,1.71671
0.06502410073,0,1.59114
0.06502428357,0,1.4358
0.06502458419,0,1.20599
0.06502518542,0,0.82601
0.06502520966,0,0.812906
0.06502525812,0,0.787129
0.06502535505,0,0.737246
0.06502554891,0,0.64391
0.06502593663,0,0.481316
0.06502671207,0,0.244932
0.06502790366,0,0.0609799
0.06502868436,0,0.0192981
0.06502963599,0,0.0046765
0.06503050859,0,0.00179319
0.06503158963,0,0.000854364
0.0650328407,0,0.000541255
0.06503401441,0,0.000439401
0.06503520255,0,0.000394545
0.06503629411,0,0.000373232
0.06503738016,0,0.000360082
0.06503842306,0,0.000351528
0.06503948215,0,0.000344755
0.06504053463,0,0.000339126
0.06504160954,0,0.000334057
0.06504268513,0,0.000329421
0.06504377289,0,0.000325027
0.06504485665,0,0.000320859
0.06504594293,0,0.000316842
0.06504702345,0,0.000312976
0.06504810363,0,0.000309221
0.06504917981,0,0.000305578
0.0650502555,0,0.000302026
0.06505132801,0,0.000298569
0.06505239797,0,0.000295198
0.06505346137,0,0.000291924
0.06505451481,0,0.00028875
0.06505554984,0,0.000285698
0.06505655415,0,0.000282824
0.06505750431,0,0.000280105
0.06505868576,0,0.000276828
0.065060006,0,0.000273255
0.06506173564,0,0.000268708
0.06506377456,0,0.000263537
0.06506649289,0,0.00025694
0.06506996984,0,0.000248962
0.06507510407,0,0.000238034
0.06508318809,0,0.000222611
0.06509935612,0,0.000196936
0.06513169219,0,0.000159525
0.06519636433,0,0.000114694
0.0653257086,0,7.17362e-005
0.06558439714,0,3.93119e-005
0.06594656024,0,2.36207e-005
0.06652752029,0,1.43387e-005
0.06735365528,0,9.2833e-006
0.06868758225,0,5.99177e-006
0.07066561808,0,4.00096e-006
0.073863895,0,2.66676e-006
0.0750198125,0,2.42361e-006
0.0750198225,0,0.00295855
0.0750198425,0,0.00557222
0.0750198825,0,0.006256
0.07501992096,0,0.00596614
0.07501998122,0,0.00586583
0.07502009589,0,0.00612241
0.07502032521,0,0.013129
0.07502046377,0,0.0701971
0.07502062131,0,0.175516
0.07502080946,0,0.302576
0.07502100564,0,0.426375
0.07502139799,0,0.648236
0.0750221827,0,1.00359
0.07502354542,0,1.4155
0.0750238125,0,1.46904
0.07502382235,0,1.4633
0.07502384205,0,1.45082
0.07502388145,0,1.42324
0.07502396026,0,1.36413
0.07502410787,0,1.25291
0.07502428164,0,1.12933
0.0750245835,0,0.936342
0.0750247048,0,0.866103
0.0750249474,0,0.736711
0.0750254326,0,0.517576
0.07502640301,0,0.220454
